name,location,link,rooms,bathrooms,construction (m2),terrain (m2),divisa,price MP,Delegacion,colonia,gym,pool,pet,garage,elevador,terrace,garden
"Francisco Diaz Covarrubias, Departamento en Venta","San Rafael, Cuauhtémoc",/propiedades/francisco-diaz-covarrubias-departamento-en-venta-56374982.html,2.0,2.0,120.0,120.0,1,5.45, Cuauhtémoc,SanRafael,1,0,0,1,0,1,0
"Francisco Diaz Covarrubias, Departamento en Venta","San Rafael, Cuauhtémoc",/propiedades/francisco-diaz-covarrubias-departamento-en-venta-56376224.html,2.0,2.0,120.0,120.0,1,5.95, Cuauhtémoc,SanRafael,1,0,0,1,0,1,0
Venta Departamento Polanco,"eugenio sue, Polanco, Miguel Hidalgo",/propiedades/venta-departamento-polanco-56416495.html,2.0,3.0,213.0,213.0,1,22.0, Miguel Hidalgo,Polanco,0,0,0,0,0,1,0
Venta Departamento Residencial Stampa,"blvd reforma, Contadero, Cuajimalpa de Morelos",/propiedades/venta-departamento-residencial-stampa-56416497.html,1.0,1.0,60.0,60.0,1,3.3, Cuajimalpa de Morelos,Contadero,0,0,0,0,0,0,0
Departamento Jardines del Pedregal,"manatial, Jardines del Pedregal, Alvaro Obregón",/propiedades/departamento-jardines-del-pedregal-56379957.html,3.0,3.0,220.0,220.0,1,14.294153, Alvaro Obregón,JardinesdelPedregal,1,1,1,0,0,1,1
Valverde y Manuel m. Ponce. Departamentos Nuevos,"Valverde 60, San José Insurgentes, Benito Juárez",/propiedades/valverde-y-manuel-m.-ponce.-departamentos-nuevos-56418784.html,2.0,2.0,110.0,128.0,1,6.95, Benito Juárez,SanJoséInsurgentes,0,0,0,1,1,0,1
Temistocles,"Polanco IV Sección, Miguel Hidalgo",/propiedades/temistocles-56318222.html,2.0,2.0,150.0,150.0,1,18.9, Miguel Hidalgo,PolancoIVSección,0,0,0,1,0,1,1
Departamento en Venta en Cuajimalpa (),"Antonio Ancona ( DOS PUERATAS ), Cuajimalpa, Cuajimalpa de Morelos",/propiedades/departamento-en-venta-en-cuajimalpa-56381453.html,2.0,2.0,65.0,65.0,1,2.85, Cuajimalpa de Morelos,Cuajimalpa,1,0,0,0,0,0,0
Departamento Calle Moras (Del Valle),"Moras, Del Valle, Benito Juárez",/propiedades/departamento-calle-moras-del-valle-56381557.html,2.0,2.0,79.0,79.0,1,3.8, Benito Juárez,DelValle,0,0,0,1,1,0,0
Departamento en Venta en Polanco,"Polanco, Miguel Hidalgo",/propiedades/departamento-en-venta-en-polanco-56319959.html,3.0,3.0,196.0,196.0,1,19.8, Miguel Hidalgo,Polanco,0,0,0,1,1,1,0
"Hermoso Departamento en Edificio ""Mirador Polanco""","Lago Bangueolo 21 Depto. 903, Granada, Miguel Hidalgo",/propiedades/hermoso-departamento-en-edificio-mirador-polanco-56320039.html,2.0,2.0,120.0,120.0,1,6.9, Miguel Hidalgo,Granada,1,0,0,1,0,0,1
Departamento Nuevo en Venta - Polanco,"Edgar Allan Poe, Polanco, Miguel Hidalgo",/propiedades/departamento-nuevo-en-venta-polanco-56320371.html,2.0,2.0,63.0,63.0,1,6.4, Miguel Hidalgo,Polanco,1,0,0,0,1,1,0
Fabuloso Departamento Col. Narvarte por Estrenar,"Narvarte, Benito Juárez",/propiedades/fabuloso-departamento-col.-narvarte-por-estrenar-56322389.html,3.0,3.0,117.0,39.0,1,5.1589, Benito Juárez,Narvarte,1,0,0,0,1,0,1
Preventa de Departamentos con 2 Recamaras Desde 71.5 m² Hasta 84 m² en La Doctores,"Doctores, Cuauhtémoc",/propiedades/preventa-de-departamentos-con-2-recamaras-desde-71.5-56322502.html,2.0,2.0,71.0,71.0,1,2.395, Cuauhtémoc,Doctores,0,0,0,1,0,1,1
Departamento Venta del Valle Norte,"San Francisco, Del Valle, Benito Juárez",/propiedades/departamento-venta-del-valle-norte-56386275.html,2.0,2.0,147.0,147.0,1,5.0, Benito Juárez,DelValle,0,0,0,0,0,0,0
"Vendo Oficina con 83 m² en Hegel, Polanco","Polanco, Miguel Hidalgo",/propiedades/vendo-oficina-con-83-m-sup2--en-hegel-polanco-56323808.html,2.0,1.0,83.0,83.0,1,5.4, Miguel Hidalgo,Polanco,0,0,0,1,0,0,0
Terraza Polanco a Estrenar,"Polanco, Miguel Hidalgo",/propiedades/terraza-polanco-a-estrenar-56324169.html,2.0,2.0,209.0,209.0,1,22.0, Miguel Hidalgo,Polanco,0,0,0,0,0,1,0
Venta Departamento del Valle Centro,"Venta Departamento Providencia, Del Valle, Benito Juárez",/propiedades/venta-departamento-del-valle-centro-56324548.html,3.0,2.0,199.0,199.0,1,9.2, Benito Juárez,DelValle,0,0,1,0,1,1,0
Departamento en Venta // Paseo de La Reforma,"Tabacalera, Cuauhtémoc",/propiedades/departamento-en-venta-paseo-de-la-reforma-56388287.html,3.0,3.0,167.0,167.0,1,18.0, Cuauhtémoc,Tabacalera,0,0,0,1,0,0,0
Departamento en Venta // Paseo de La Reforma,"Tabacalera, Cuauhtémoc",/propiedades/departamento-en-venta-paseo-de-la-reforma-56388327.html,1.0,1.0,93.0,93.0,1,8.0, Cuauhtémoc,Tabacalera,0,0,0,1,0,0,0
Departamento en Venta en La Colonia del Valle,"Luz Saviñón 909 - 402, Del Valle, Benito Juárez",/propiedades/departamento-en-venta-en-la-colonia-del-valle-56325042.html,3.0,3.0,212.0,212.0,1,7.391, Benito Juárez,DelValle,0,0,0,0,0,1,1
"Departamento en Venta en Polarea, Torre Budapest","Lago Zurich, Ampliación Granada, Miguel Hidalgo",/propiedades/departamento-en-venta-en-polarea-torre-budapest-56325068.html,3.0,3.0,128.0,128.0,1,8.499, Miguel Hidalgo,AmpliaciónGranada,1,0,0,0,0,0,0
Departamento en Santa Fe,"Prolongacion Paseo de la Reforma, Lomas de Santa Fe, Alvaro Obregón",/propiedades/departamento-en-santa-fe-56325872.html,2.0,2.0,90.0,90.0,1,4.8, Alvaro Obregón,LomasdeSantaFe,1,0,0,1,0,0,0
"Exclusivo PH Amueblado con Terraza, Roof Garden Privado y Jacuzzi","Av Mexico 195, Hipódromo, Cuauhtémoc",/propiedades/exclusivo-ph-amueblado-con-terraza-roof-garden-56326114.html,2.0,2.0,210.0,210.0,1,11.0, Cuauhtémoc,Hipódromo,0,0,0,1,1,1,1
Departamento en Venta en Lomas de Chapultepec,"Blvd. Manuel Avíla Camacho 110, Lomas de Chapultepec, Miguel Hidalgo",/propiedades/departamento-en-venta-en-lomas-de-chapultepec-56390682.html,2.0,2.0,130.0,130.0,1,5.9, Miguel Hidalgo,LomasdeChapultepec,0,0,0,1,0,0,0
Departamento en Venta en Torre Siroco,"Av. Santa Fe , Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/departamento-en-venta-en-torre-siroco-56327525.html,1.0,1.0,93.0,93.0,1,7.7, Cuajimalpa de Morelos,SantaFeCuajimalpa,1,1,0,1,1,0,0
Departamento - Santa Fe,"Polongación Paseo DE LA Reforma ""vía Santa FE"", Santa Fe, Alvaro Obregón",/propiedades/departamento-santa-fe-56420817.html,1.0,1.0,70.0,70.0,1,3.75, Alvaro Obregón,SantaFe,1,0,0,1,0,0,0
"Departamento en Venta, Polanco, Miguel Hidalgo","Polanco, Miguel Hidalgo",/propiedades/departamento-en-venta-polanco-miguel-hidalgo-56467685.html,2.0,2.0,220.0,220.0,1,25.76, Miguel Hidalgo,Polanco,0,0,0,1,0,1,0
"Narvarte Oriente, Estrena Departamento Exterior de Lujo!","Dr. Barragán, Narvarte, Benito Juárez",/propiedades/narvarte-oriente-estrena-departamento-exterior-de-56467736.html,2.0,2.0,85.0,85.0,1,3.958, Benito Juárez,Narvarte,0,0,0,1,1,0,0
"Departamento en Venta, Holbein / Cd. de Los Deportes","Holbein, Ciudad de los Deportes, Benito Juárez",/propiedades/departamento-en-venta-holbein-cd.-de-los-deportes-56467784.html,2.0,2.0,86.0,86.0,1,4.57954, Benito Juárez,CiudaddelosDeportes,0,0,0,1,1,0,1
"Departamento en Venta, Priv. Tepozteco / Narvarte","Privada del Tepozteco, Narvarte, Benito Juárez",/propiedades/departamento-en-venta-priv.-tepozteco-narvarte-56468180.html,3.0,1.0,79.0,79.0,1,3.808497, Benito Juárez,Narvarte,0,0,0,1,0,0,0
"Venta Departamento en San Pedro Martir, Tlalpan","San Pedro Mártir, Tlalpan",/propiedades/venta-departamento-en-san-pedro-martir-tlalpan-56468416.html,3.0,2.0,97.0,97.0,1,2.65, Tlalpan,SanPedroMártir,0,0,0,1,0,0,1
Departamento en Venta en Portales Norte,"Municipio Libre, Portales, Benito Juárez",/propiedades/departamento-en-venta-en-portales-norte-56430479.html,2.0,2.0,65.0,65.0,1,2.555, Benito Juárez,Portales,1,0,0,0,0,0,1
